speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
123.0,Bill,BREWSTER,HOUSE,,D,OK,,B000817,103.0
2155.0,Jim,BRIDENSTINE,HOUSE,REPRESENTATIVE,R,OK,1.0,B001283,113.0
1905.0,Bobby,BRIGHT,HOUSE,REPRESENTATIVE,D,AL,2.0,B001264,111.0
127.0,Jack,BROOKS,HOUSE,,D,TX,,B000880,103.0
1987.0,Mo,BROOKS,HOUSE,REPRESENTATIVE,R,AL,5.0,B001274,113.0
2129.0,Susan,BROOKS,HOUSE,REPRESENTATIVE,R,IN,5.0,B001284,113.0
1882.0,Paul,BROUN,HOUSE,REPRESENTATIVE,R,GA,10.0,B001262,113.0
130.0,Glen,BROWDER,HOUSE,,D,AL,,B000897,103.0
1975.0,Scott,BROWN,SENATE,SENATOR,R,MA,,B001268,112.0
1669.0,Henry,BROWN,HOUSE,REPRESENTATIVE,R,SC,1.0,B001235,107.0
132.0,Corrine,BROWN,HOUSE,REPRESENTATIVE,D,FL,5.0,B000911,113.0
134.0,George,BROWN,HOUSE,REPRESENTATIVE,D,CA,42.0,B000918,105.0
136.0,Sherrod,BROWN,SENATE,SENATOR,D,OH,,B000944,113.0
135.0,Hank,BROWN,SENATE,,R,CO,,B000919,103.0
1713.0,Ginny,BROWN-WAITE,HOUSE,REPRESENTATIVE,R,FL,5.0,B001247,110.0
137.0,Sam,BROWNBACK,SENATE,SENATOR,R,KS,,B000953,107.0
2106.0,Julia,BROWNLEY,HOUSE,REPRESENTATIVE,D,CA,26.0,B001285,113.0
1293.0,Richard,BRYAN,SENATE,SENATOR,D,NV,,B000993,106.0
141.0,Ed,BRYANT,HOUSE,REPRESENTATIVE,R,TN,7.0,B000996,107.0
1840.0,Vern,BUCHANAN,HOUSE,REPRESENTATIVE,R,FL,16.0,B001260,113.0
2233.0,Ken,BUCK,HOUSE,REPRESENTATIVE,R,CO,4.0,B001297,114.0
2018.0,Larry,BUCSHON,HOUSE,REPRESENTATIVE,R,IN,8.0,B001275,113.0
2336.0,Ted,BUDD,HOUSE,,R,NC,,B001305,115.0
,,BUECHNER,,,,,,,
2045.0,Ann,BUERKLE,HOUSE,REPRESENTATIVE,R,NY,25.0,B001276,112.0
1295.0,Dale,BUMPERS,SENATE,SENATOR,D,AR,,B001057,105.0
145.0,Jim,BUNN,HOUSE,,R,OR,,B001063,104.0
146.0,Jim,BUNNING,SENATE,SENATOR,R,KY,,B001066,107.0
1751.0,Michael,BURGESS,HOUSE,REPRESENTATIVE,R,TX,26.0,B001248,113.0
1721.0,Max,BURNS,HOUSE,REPRESENTATIVE,R,GA,12.0,B001249,108.0
1298.0,Conrad,BURNS,SENATE,SENATOR,R,MT,,B001126,107.0
153.0,Richard,BURR,SENATE,SENATOR,R,NC,,B001135,113.0
1963.0,Roland,BURRIS,SENATE,SENATOR,D,IL,,B001266,111.0
,,BURRRIS,,,,,,,
154.0,Dan,BURTON,HOUSE,REPRESENTATIVE,R,IN,6.0,B001149,107.0
