speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
208,James,CLYBURN,REPRESENTATIVE,D,SC,6,C000537,113
209,Daniel,COATS,SENATOR,R,IN,,C000542,113
211,Howard,COBLE,REPRESENTATIVE,R,NC,6,C000556,113
212,Tom,COBURN,SENATOR,R,OK,,C000560,113
213,Thad,COCHRAN,SENATOR,R,MS,,C000567,113
1912,Mike,COFFMAN,REPRESENTATIVE,R,CO,6,C001077,113
1742,Tom,COLE,REPRESENTATIVE,R,OK,4,C001053,113
1697,Norm,COLEMAN,SENATOR,R,MN,,C001057,110
1541,Susan,COLLINS,SENATOR,R,ME,,C001035,113
2151,Chris,COLLINS,REPRESENTATIVE,R,NY,27,C001092,113
222,Mac,COLLINS,REPRESENTATIVE,R,GA,3,C000640,107
2121,Doug,COLLINS,REPRESENTATIVE,R,GA,9,C001093,113
224,Larry,COMBEST,REPRESENTATIVE,R,TX,19,C000653,107
2273,Barbara,COMSTOCK,REPRESENTATIVE,R,VA,10,C001105,114
1805,K.,CONAWAY,REPRESENTATIVE,R,TX,11,C001062,113
226,Gary,CONDIT,REPRESENTATIVE,D,CA,18,C000670,107
1959,Gerald,CONNOLLY,REPRESENTATIVE,D,VA,11,C001078,113
1307,Kent,CONRAD,SENATOR,D,ND,,C000705,107
229,John,CONYERS,REPRESENTATIVE,D,MI,13,C000714,113
2103,Paul,COOK,REPRESENTATIVE,R,CA,8,C001094,113
1475,Merrill,COOK,REPRESENTATIVE,R,UT,2,C000722,106
1476,John,COOKSEY,REPRESENTATIVE,R,LA,5,C000735,107
1984,Christopher,COONS,SENATOR,D,DE,,C001088,113
231,Jim,COOPER,REPRESENTATIVE,D,TN,5,C000754,113
1825,Bob,CORKER,SENATOR,R,TN,,C001071,113
1692,John,CORNYN,SENATOR,R,TX,,C001056,113
1630,Jon,CORZINE,SENATOR,D,NJ,,C001042,107
1774,Jim,COSTA,REPRESENTATIVE,D,CA,16,C001059,113
2266,Ryan,COSTELLO,REPRESENTATIVE,R,PA,6,C001106,114
238,Jerry,COSTELLO,REPRESENTATIVE,D,IL,12,C000794,107
2098,Tom,COTTON,REPRESENTATIVE,R,AR,4,C001095,113
1836,Joe,COURTNEY,REPRESENTATIVE,D,CT,2,C001069,113
242,Christopher,COX,REPRESENTATIVE,R,CA,47,C000830,107
245,William,COYNE,REPRESENTATIVE,D,PA,14,C000846,107
246,Larry,CRAIG,SENATOR,R,ID,,C000858,107
247,Robert,CRAMER,REPRESENTATIVE,D,AL,5,C000868,107
2144,Kevin,CRAMER,REPRESENTATIVE,R,ND,0,C001096,113
249,Philip,CRANE,REPRESENTATIVE,R,IL,8,C000873,107
250,Mike,CRAPO,SENATOR,R,ID,,C000880,113
2031,Chip,CRAVAACK,REPRESENTATIVE,R,MN,8,C001086,112
1989,Eric,CRAWFORD,REPRESENTATIVE,R,AR,1,C001087,113
1643,Ander,CRENSHAW,REPRESENTATIVE,R,FL,4,C001045,113
1977,Mark,CRITZ,REPRESENTATIVE,D,PA,12,C001081,112
1604,Joseph,CROWLEY,REPRESENTATIVE,D,NY,14,C001038,113
2175,Ted,CRUZ,SENATOR,R,TX,,C001098,113
254,Barbara,CUBIN,REPRESENTATIVE,R,WY,0,C000962,107
1807,Henry,CUELLAR,REPRESENTATIVE,D,TX,28,C001063,113
1670,John,CULBERSON,REPRESENTATIVE,R,TX,7,C001048,113
256,Elijah,CUMMINGS,REPRESENTATIVE,D,MD,7,C000984,113
258,Randy,CUNNINGHAM,REPRESENTATIVE,R,CA,51,C000994,107
2235,Carlos,CURBELO,REPRESENTATIVE,R,FL,26,C001107,114
1313,Alfonse,D'AMATO,SENATOR,R,NY,,D000018,105
1951,Kathleen,DAHLKEMPER,REPRESENTATIVE,D,PA,3,D000608,111
2138,Steve,DAINES,REPRESENTATIVE,R,MT,0,D000618,113
265,Pat,DANNER,REPRESENTATIVE,D,MO,6,D000046,106
267,Thomas,DASCHLE,SENATOR,D,SD,,D000064,107
274,Tom,DAVIS,REPRESENTATIVE,R,VA,11,D000136,107
1478,Jim,DAVIS,REPRESENTATIVE,D,FL,11,D000114,107
1477,Danny,DAVIS,REPRESENTATIVE,D,IL,7,D000096,113
2126,Rodney,DAVIS,REPRESENTATIVE,R,IL,13,D000619,113
1705,Artur,DAVIS,REPRESENTATIVE,D,AL,7,D000602,110
1672,Jo,DAVIS,REPRESENTATIVE,R,VA,1,D000597,107
1641,Susan,DAVIS,REPRESENTATIVE,D,CA,53,D000598,113
1784,Geoff,DAVIS,REPRESENTATIVE,R,KY,4,D000603,112
1747,Lincoln,DAVIS,REPRESENTATIVE,D,TN,4,D000599,110
1877,David,DAVIS,REPRESENTATIVE,R,TN,1,D000606,110
1629,Mark,DAYTON,SENATOR,D,MN,,D000596,107
277,Nathan,DEAL,REPRESENTATIVE,R,GA,9,D000168,107
279,Peter,DEFAZIO,REPRESENTATIVE,D,OR,4,D000191,113
1479,Diana,DEGETTE,REPRESENTATIVE,D,CO,1,D000197,113
1480,Bill,DELAHUNT,REPRESENTATIVE,D,MA,10,D000210,107
2133,John,DELANEY,REPRESENTATIVE,D,MD,6,D000620,113
281,Rosa,DELAURO,REPRESENTATIVE,D,CT,3,D000216,113
282,Tom,DELAY,REPRESENTATIVE,R,TX,22,D000217,107
2096,Suzan,DELBENE,REPRESENTATIVE,D,WA,1,D000617,113
284,Ronald,DELLUMS,REPRESENTATIVE,D,CA,9,D000222,105
1605,Jim,DEMINT,REPRESENTATIVE,R,SC,4,D000595,107
1995,Jeff,DENHAM,REPRESENTATIVE,R,CA,10,D000612,113
1799,Charles,DENT,REPRESENTATIVE,R,PA,15,D000604,113
2116,Ron,DESANTIS,REPRESENTATIVE,R,FL,6,D000621,113
2227,Mark,DESAULNIER,REPRESENTATIVE,D,CA,11,D000623,114
2062,Scott,DESJARLAIS,REPRESENTATIVE,R,TN,4,D000616,113
1976,Theodore,DEUTCH,REPRESENTATIVE,D,FL,21,D000610,113
291,Peter,DEUTSCH,REPRESENTATIVE,D,FL,20,D000275,107
293,Mike,DEWINE,SENATOR,R,OH,,D000294,107
294,Lincoln,DIAZ-BALART,REPRESENTATIVE,R,FL,21,D000299,107
1717,Mario,DIAZ-BALART,REPRESENTATIVE,R,FL,25,D000600,113
295,Jay,DICKEY,REPRESENTATIVE,R,AR,4,D000312,106
297,Norman,DICKS,REPRESENTATIVE,D,WA,6,D000327,107
2251,Debbie,DINGELL,REPRESENTATIVE,D,MI,12,D000624,114
299,John,DINGELL,REPRESENTATIVE,D,MI,12,D000355,113
301,Julian,DIXON,REPRESENTATIVE,D,CA,32,D000373,106
302,Christopher,DODD,SENATOR,D,CT,,D000388,107
303,Lloyd,DOGGETT,REPRESENTATIVE,D,TX,35,D000399,113
2013,Robert,DOLD,REPRESENTATIVE,R,IL,10,D000613,112
1698,Elizabeth,DOLE,SENATOR,R,NC,,D000601,110
1319,Pete,DOMENICI,SENATOR,R,NM,,D000407,107
1850,Joe,DONNELLY,SENATOR,D,IN,,D000607,113
2293,Daniel,DONOVAN,REPRESENTATIVE,R,NY,11,D000625,114
306,Calvin,DOOLEY,REPRESENTATIVE,D,CA,20,D000424,107
307,John,DOOLITTLE,REPRESENTATIVE,R,CA,4,D000429,107
308,Byron,DORGAN,SENATOR,D,ND,,D000432,107
316,Michael,DOYLE,REPRESENTATIVE,D,PA,14,D000482,113
1808,Thelma,DRAKE,REPRESENTATIVE,R,VA,2,D000605,110
317,David,DREIER,REPRESENTATIVE,R,CA,28,D000492,107
1946,Steve,DRIEHAUS,REPRESENTATIVE,D,OH,1,D000609,111
2123,Tammy,DUCKWORTH,REPRESENTATIVE,D,IL,8,D000622,113
2072,Sean,DUFFY,REPRESENTATIVE,R,WI,7,D000614,112
2057,Jeff,DUNCAN,REPRESENTATIVE,R,SC,3,D000615,113
322,John,DUNCAN,REPRESENTATIVE,R,TN,2,D000533,113
324,Jennifer,DUNN,REPRESENTATIVE,R,WA,8,D000549,107
326,Richard,DURBIN,SENATOR,D,IL,,D000563,113
335,Chet,EDWARDS,REPRESENTATIVE,D,TX,11,E000063,107
1894,Donna,EDWARDS,REPRESENTATIVE,D,MD,4,E000290,113
1573,John,EDWARDS,SENATOR,D,NC,,E000286,107
339,Vernon,EHLERS,REPRESENTATIVE,R,MI,3,E000092,107
340,Robert,EHRLICH,REPRESENTATIVE,R,MD,2,E000093,107
1857,Keith,ELLISON,REPRESENTATIVE,D,MN,5,E000288,113
2036,Renee,ELLMERS,REPRESENTATIVE,R,NC,2,E000291,113
1851,Brad,ELLSWORTH,REPRESENTATIVE,D,IN,8,E000289,110
1725,Rahm,EMANUEL,REPRESENTATIVE,D,IL,5,E000287,110
1481,Jo,EMERSON,REPRESENTATIVE,R,MO,8,E000172,107
2253,Tom,EMMER,REPRESENTATIVE,R,MN,6,E000294,114
344,Eliot,ENGEL,REPRESENTATIVE,D,NY,16,E000179,113
347,Phil,ENGLISH,REPRESENTATIVE,R,PA,21,E000187,107
348,John,ENSIGN,SENATOR,R,NV,,E000194,107
2125,William,ENYART,REPRESENTATIVE,D,IL,12,E000292,113
1542,Michael,ENZI,SENATOR,R,WY,,E000285,113
2283,Joni,ERNST,SENATOR,R,IA,,E000295,114
355,Anna,ESHOO,REPRESENTATIVE,D,CA,18,E000215,113
2114,Elizabeth,ESTY,REPRESENTATIVE,D,CT,5,E000293,113
1482,Bob,ETHERIDGE,REPRESENTATIVE,D,NC,2,E000226,107
361,Lane,EVANS,REPRESENTATIVE,D,IL,17,E000250,107
364,Terry,EVERETT,REPRESENTATIVE,R,AL,2,E000268,107
366,Thomas,EWING,REPRESENTATIVE,R,IL,15,E000282,106
1329,Lauch,FAIRCLOTH,SENATOR,R,NC,,F000437,105
1872,Mary,FALLIN,REPRESENTATIVE,R,OK,5,F000453,110
2067,Blake,FARENTHOLD,REPRESENTATIVE,R,TX,27,F000460,113
368,Sam,FARR,REPRESENTATIVE,D,CA,20,F000030,113
371,Chaka,FATTAH,REPRESENTATIVE,D,PA,2,F000043,113
373,Harris,FAWELL,REPRESENTATIVE,R,IL,13,F000049,105
374,Vic,FAZIO,REPRESENTATIVE,D,CA,3,F000053,105
1716,Tom,FEENEY,REPRESENTATIVE,R,FL,24,F000447,110
1331,Russell,FEINGOLD,SENATOR,D,WI,,F000061,107
1332,Dianne,FEINSTEIN,SENATOR,D,CA,,F000062,113
1659,Mike,FERGUSON,REPRESENTATIVE,R,NJ,7,F000443,107
381,Bob,FILNER,REPRESENTATIVE,D,CA,50,F000116,107
2064,Stephen,FINCHER,REPRESENTATIVE,R,TN,8,F000458,113
2179,Deb,FISCHER,SENATOR,R,NE,,F000463,113
1571,Peter,FITZGERALD,SENATOR,R,IL,,F000442,107
1797,Michael,FITZPATRICK,REPRESENTATIVE,R,PA,8,F000451,113
1633,Jeff,FLAKE,SENATOR,R,AZ,,F000444,113
388,Floyd,FLAKE,REPRESENTATIVE,D,NY,6,F000184,105
2061,Charles,FLEISCHMANN,REPRESENTATIVE,R,TN,3,F000459,113
1924,John,FLEMING,REPRESENTATIVE,R,LA,4,F000456,113
1563,Ernie,FLETCHER,REPRESENTATIVE,R,KY,6,F000441,107
395,Thomas,FOGLIETTA,REPRESENTATIVE,D,PA,1,F000235,105
396,Mark,FOLEY,REPRESENTATIVE,R,FL,16,F000238,107
398,Michael,FORBES,REPRESENTATIVE,D,NY,1,F000257,106
1683,J.,FORBES,REPRESENTATIVE,R,VA,4,F000445,113
1334,Wendell,FORD,SENATOR,D,KY,,F000268,105
1483,Harold,FORD,REPRESENTATIVE,D,TN,9,F000262,107
1793,Jeff,FORTENBERRY,REPRESENTATIVE,R,NE,1,F000449,113
1484,Vito,FOSSELLA,REPRESENTATIVE,R,NY,13,F000440,107
1888,Bill,FOSTER,REPRESENTATIVE,D,IL,11,F000454,113
404,Tillie,FOWLER,REPRESENTATIVE,R,FL,4,F000328,106
406,Jon,FOX,REPRESENTATIVE,R,PA,13,F000332,105
1791,Virginia,FOXX,REPRESENTATIVE,R,NC,5,F000450,113
407,Barney,FRANK,REPRESENTATIVE,D,MA,4,F000339,107
2119,Lois,FRANKEL,REPRESENTATIVE,D,FL,22,F000462,113
1969,Al,FRANKEN,SENATOR,D,MN,,F000457,113
1707,Trent,FRANKS,REPRESENTATIVE,R,AZ,8,F000448,113
409,Bob,FRANKS,REPRESENTATIVE,R,NJ,7,F000349,106
414,Rodney,FRELINGHUYSEN,REPRESENTATIVE,R,NJ,11,F000372,113
1336,William,FRIST,SENATOR,R,TN,,F000439,107
419,Martin,FROST,REPRESENTATIVE,D,TX,24,F000392,107
1895,Marcia,FUDGE,REPRESENTATIVE,D,OH,11,F000455,113
423,Elizabeth,FURSE,REPRESENTATIVE,D,OR,1,F000434,105
2122,Tulsi,GABBARD,REPRESENTATIVE,D,HI,2,G000571,113
425,Elton,GALLEGLY,REPRESENTATIVE,R,CA,23,G000021,107
2226,Ruben,GALLEGO,REPRESENTATIVE,D,AZ,7,G000574,114
2164,Pete,GALLEGO,REPRESENTATIVE,D,TX,23,G000572,113
428,Greg,GANSKE,REPRESENTATIVE,R,IA,4,G000041,107
1973,John,GARAMENDI,REPRESENTATIVE,D,CA,3,G000559,113
1998,Cory,GARDNER,REPRESENTATIVE,R,CO,4,G000562,113
1737,Scott,GARRETT,REPRESENTATIVE,R,NJ,5,G000548,113
431,Sam,GEJDENSON,REPRESENTATIVE,D,CT,2,G000120,106
432,George,GEKAS,REPRESENTATIVE,R,PA,17,G000121,107
433,Richard,GEPHARDT,REPRESENTATIVE,D,MO,3,G000132,107
1743,Jim,GERLACH,REPRESENTATIVE,R,PA,6,G000549,113
1485,Jim,GIBBONS,REPRESENTATIVE,R,NV,2,G000152,107
2049,Bob,GIBBS,REPRESENTATIVE,R,OH,7,G000563,113
2043,Christopher,GIBSON,REPRESENTATIVE,R,NY,19,G000564,113
1831,Gabrielle,GIFFORDS,REPRESENTATIVE,D,AZ,8,G000554,112
438,Wayne,GILCHREST,REPRESENTATIVE,R,MD,1,G000180,107
1866,Kirsten,GILLIBRAND,SENATOR,D,NY,,G000555,113
439,Paul,GILLMOR,REPRESENTATIVE,R,OH,5,G000210,107
440,Benjamin,GILMAN,REPRESENTATIVE,R,NY,20,G000212,107
1720,Phil,GINGREY,REPRESENTATIVE,R,GA,11,G000550,113
