speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2155,Jim,Bridenstine,REPRESENTATIVE,R,OK,1,B001283,113
1905,Bobby,Bright,REPRESENTATIVE,D,AL,2,B001264,111
2129,Susan,Brooks,REPRESENTATIVE,R,IN,5,B001284,113
1987,Mo,Brooks,REPRESENTATIVE,R,AL,5,B001274,113
1882,Paul,Broun,REPRESENTATIVE,R,GA,10,B001262,113
1975,Scott,Brown,SENATOR,R,MA,,B001268,112
136,Sherrod,Brown,SENATOR,D,OH,,B000944,113
134,George,Brown,REPRESENTATIVE,D,CA,42,B000918,105
1669,Henry,Brown,REPRESENTATIVE,R,SC,1,B001235,107
132,Corrine,Brown,REPRESENTATIVE,D,FL,5,B000911,113
1713,Ginny,Brown-Waite,REPRESENTATIVE,R,FL,5,B001247,110
137,Sam,Brownback,SENATOR,R,KS,,B000953,107
2106,Julia,Brownley,REPRESENTATIVE,D,CA,26,B001285,113
1293,Richard,Bryan,SENATOR,D,NV,,B000993,106
141,Ed,Bryant,REPRESENTATIVE,R,TN,7,B000996,107
1840,Vern,Buchanan,REPRESENTATIVE,R,FL,16,B001260,113
2233,Ken,Buck,REPRESENTATIVE,R,CO,4,B001297,114
2018,Larry,Bucshon,REPRESENTATIVE,R,IN,8,B001275,113
2045,Ann,Buerkle,REPRESENTATIVE,R,NY,25,B001276,112
1295,Dale,Bumpers,SENATOR,D,AR,,B001057,105
146,Jim,Bunning,SENATOR,R,KY,,B001066,107
1751,Michael,Burgess,REPRESENTATIVE,R,TX,26,B001248,113
1298,Conrad,Burns,SENATOR,R,MT,,B001126,107
1721,Max,Burns,REPRESENTATIVE,R,GA,12,B001249,108
153,Richard,Burr,SENATOR,R,NC,,B001135,113
1963,Roland,Burris,SENATOR,D,IL,,B001266,111
154,Dan,Burton,REPRESENTATIVE,R,IN,6,B001149,107
2127,Cheri,Bustos,REPRESENTATIVE,D,IL,17,B001286,113
1761,G.,Butterfield,REPRESENTATIVE,D,NC,1,B001251,113
160,Steve,Buyer,REPRESENTATIVE,R,IN,5,B001203,107
1299,Robert,Byrd,SENATOR,D,WV,,B001210,107
2197,Bradley,Byrne,REPRESENTATIVE,R,AL,1,B001289,113
164,Sonny,Callahan,REPRESENTATIVE,R,AL,1,C000052,107
165,Ken,Calvert,REPRESENTATIVE,R,CA,42,C000059,113
166,Dave,Camp,REPRESENTATIVE,R,MI,4,C000071,113
168,Ben,Campbell,SENATOR,R,CO,,C000077,107
170,Tom,Campbell,REPRESENTATIVE,R,CA,15,C000100,106
1816,John,Campbell,REPRESENTATIVE,R,CA,45,C001064,113
171,Charles,Canady,REPRESENTATIVE,R,FL,12,C000107,106
1470,Chris,Cannon,REPRESENTATIVE,R,UT,3,C000116,107
2066,Francisco,Canseco,REPRESENTATIVE,R,TX,23,C001082,112
1674,Eric,Cantor,REPRESENTATIVE,R,VA,7,C001046,113
172,Maria,Cantwell,SENATOR,D,WA,,C000127,113
1923,Anh,Cao,REPRESENTATIVE,R,LA,2,C001079,111
1676,Shelley,Capito,REPRESENTATIVE,R,WV,2,C001047,113
1472,Walter,Capps,REPRESENTATIVE,D,CA,22,C000134,105
1471,Lois,Capps,REPRESENTATIVE,D,CA,24,C001036,113
1564,Michael,Capuano,REPRESENTATIVE,D,MA,7,C001037,113
2107,Tony,Cardenas,REPRESENTATIVE,D,CA,29,C001097,113
174,Benjamin,Cardin,SENATOR,D,MD,,C000141,113
1709,Dennis,Cardoza,REPRESENTATIVE,D,CA,18,C001050,112
1680,Jean,Carnahan,SENATOR,D,MO,,C001043,107
1789,Russ,Carnahan,REPRESENTATIVE,D,MO,3,C001060,112
1876,Christopher,Carney,REPRESENTATIVE,D,PA,10,C001065,110
1999,John,Carney,REPRESENTATIVE,D,DE,0,C001083,113
179,Thomas,Carper,SENATOR,D,DE,,C000174,113
