speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
229,John,CONYERS,HOUSE,REPRESENTATIVE,D,MI,13.0,C000714,113
1475,Merrill,COOK,HOUSE,REPRESENTATIVE,R,UT,2.0,C000722,106
2103,Paul,COOK,HOUSE,REPRESENTATIVE,R,CA,8.0,C001094,113
1476,John,COOKSEY,HOUSE,REPRESENTATIVE,R,LA,5.0,C000735,107
1984,Christopher,COONS,SENATE,SENATOR,D,DE,,C001088,113
231,Jim,COOPER,HOUSE,REPRESENTATIVE,D,TN,5.0,C000754,113
1825,Bob,CORKER,SENATE,SENATOR,R,TN,,C001071,113
1692,John,CORNYN,SENATE,SENATOR,R,TX,,C001056,113
2312,J.,CORREA,HOUSE,N/A,D,CA,,C001110,115
1630,Jon,CORZINE,SENATE,SENATOR,D,NJ,,C001042,107
1774,Jim,COSTA,HOUSE,REPRESENTATIVE,D,CA,16.0,C001059,113
238,Jerry,COSTELLO,HOUSE,REPRESENTATIVE,D,IL,12.0,C000794,107
2266,Ryan,COSTELLO,HOUSE,REPRESENTATIVE,R,PA,6.0,C001106,114
2098,Tom,COTTON,HOUSE,REPRESENTATIVE,R,AR,4.0,C001095,113
1836,Joe,COURTNEY,HOUSE,REPRESENTATIVE,D,CT,2.0,C001069,113
242,Christopher,COX,HOUSE,REPRESENTATIVE,R,CA,47.0,C000830,107
245,William,COYNE,HOUSE,REPRESENTATIVE,D,PA,14.0,C000846,107
246,Larry,CRAIG,SENATE,SENATOR,R,ID,,C000858,107
2144,Kevin,CRAMER,HOUSE,REPRESENTATIVE,R,ND,0.0,C001096,113
247,Robert,CRAMER,HOUSE,REPRESENTATIVE,D,AL,5.0,C000868,107
249,Philip,CRANE,HOUSE,REPRESENTATIVE,R,IL,8.0,C000873,107
250,Mike,CRAPO,SENATE,SENATOR,R,ID,,C000880,113
2031,Chip,CRAVAACK,HOUSE,REPRESENTATIVE,R,MN,8.0,C001086,112
1989,Eric,CRAWFORD,HOUSE,REPRESENTATIVE,R,AR,1.0,C001087,113
1643,Ander,CRENSHAW,HOUSE,REPRESENTATIVE,R,FL,4.0,C001045,113
2321,Charlie,CRIST,HOUSE,N/A,D,FL,,C001111,115
1977,Mark,CRITZ,HOUSE,REPRESENTATIVE,D,PA,12.0,C001081,112
1604,Joseph,CROWLEY,HOUSE,REPRESENTATIVE,D,NY,14.0,C001038,113
2175,Ted,CRUZ,SENATE,SENATOR,R,TX,,C001098,113
254,Barbara,CUBIN,HOUSE,REPRESENTATIVE,R,WY,0.0,C000962,107
1807,Henry,CUELLAR,HOUSE,REPRESENTATIVE,D,TX,28.0,C001063,113
1670,John,CULBERSON,HOUSE,REPRESENTATIVE,R,TX,7.0,C001048,113
256,Elijah,CUMMINGS,HOUSE,REPRESENTATIVE,D,MD,7.0,C000984,113
258,Randy,CUNNINGHAM,HOUSE,REPRESENTATIVE,R,CA,51.0,C000994,107
2235,Carlos,CURBELO,HOUSE,REPRESENTATIVE,R,FL,26.0,C001107,114
1313,Alfonse,D'AMATO,SENATE,SENATOR,R,NY,,D000018,105
1951,Kathleen,DAHLKEMPER,HOUSE,REPRESENTATIVE,D,PA,3.0,D000608,111
2138,Steve,DAINES,HOUSE,REPRESENTATIVE,R,MT,0.0,D000618,113
265,Pat,DANNER,HOUSE,REPRESENTATIVE,D,MO,6.0,D000046,106
267,Thomas,DASCHLE,SENATE,SENATOR,D,SD,,D000064,107
2296,Warren,DAVIDSON,HOUSE,N/A,R,OH,,D000626,115
1672,Jo,DAVIS,HOUSE,REPRESENTATIVE,R,VA,1.0,D000597,107
1705,Artur,DAVIS,HOUSE,REPRESENTATIVE,D,AL,7.0,D000602,110
274,Tom,DAVIS,HOUSE,REPRESENTATIVE,R,VA,11.0,D000136,107
1784,Geoff,DAVIS,HOUSE,REPRESENTATIVE,R,KY,4.0,D000603,112
2126,Rodney,DAVIS,HOUSE,REPRESENTATIVE,R,IL,13.0,D000619,113
1877,David,DAVIS,HOUSE,REPRESENTATIVE,R,TN,1.0,D000606,110
1641,Susan,DAVIS,HOUSE,REPRESENTATIVE,D,CA,53.0,D000598,113
1477,Danny,DAVIS,HOUSE,REPRESENTATIVE,D,IL,7.0,D000096,113
1478,Jim,DAVIS,HOUSE,REPRESENTATIVE,D,FL,11.0,D000114,107
1747,Lincoln,DAVIS,HOUSE,REPRESENTATIVE,D,TN,4.0,D000599,110
1629,Mark,DAYTON,SENATE,SENATOR,D,MN,,D000596,107
277,Nathan,DEAL,HOUSE,REPRESENTATIVE,R,GA,9.0,D000168,107
279,Peter,DEFAZIO,HOUSE,REPRESENTATIVE,D,OR,4.0,D000191,113
1479,Diana,DEGETTE,HOUSE,REPRESENTATIVE,D,CO,1.0,D000197,113
1480,Bill,DELAHUNT,HOUSE,REPRESENTATIVE,D,MA,10.0,D000210,107
2133,John,DELANEY,HOUSE,REPRESENTATIVE,D,MD,6.0,D000620,113
281,Rosa,DELAURO,HOUSE,REPRESENTATIVE,D,CT,3.0,D000216,113
282,Tom,DELAY,HOUSE,REPRESENTATIVE,R,TX,22.0,D000217,107
2096,Suzan,DELBENE,HOUSE,REPRESENTATIVE,D,WA,1.0,D000617,113
284,Ronald,DELLUMS,HOUSE,REPRESENTATIVE,D,CA,9.0,D000222,105
2320,Val,DEMINGS,HOUSE,N/A,D,FL,,D000627,115
1605,Jim,DEMINT,HOUSE,REPRESENTATIVE,R,SC,4.0,D000595,107
1995,Jeff,DENHAM,HOUSE,REPRESENTATIVE,R,CA,10.0,D000612,113
1799,Charles,DENT,HOUSE,REPRESENTATIVE,R,PA,15.0,D000604,113
2116,Ron,DESANTIS,HOUSE,REPRESENTATIVE,R,FL,6.0,D000621,113
2227,Mark,DESAULNIER,HOUSE,REPRESENTATIVE,D,CA,11.0,D000623,114
2062,Scott,DESJARLAIS,HOUSE,REPRESENTATIVE,R,TN,4.0,D000616,113
1976,Theodore,DEUTCH,HOUSE,REPRESENTATIVE,D,FL,21.0,D000610,113
291,Peter,DEUTSCH,HOUSE,REPRESENTATIVE,D,FL,20.0,D000275,107
293,Mike,DEWINE,SENATE,SENATOR,R,OH,,D000294,107
1717,Mario,DIAZ-BALART,HOUSE,REPRESENTATIVE,R,FL,25.0,D000600,113
294,Lincoln,DIAZ-BALART,HOUSE,REPRESENTATIVE,R,FL,21.0,D000299,107
295,Jay,DICKEY,HOUSE,REPRESENTATIVE,R,AR,4.0,D000312,106
297,Norman,DICKS,HOUSE,REPRESENTATIVE,D,WA,6.0,D000327,107
2251,Debbie,DINGELL,HOUSE,REPRESENTATIVE,D,MI,12.0,D000624,114
299,John,DINGELL,HOUSE,REPRESENTATIVE,D,MI,12.0,D000355,113
301,Julian,DIXON,HOUSE,REPRESENTATIVE,D,CA,32.0,D000373,106
302,Christopher,DODD,SENATE,SENATOR,D,CT,,D000388,107
303,Lloyd,DOGGETT,HOUSE,REPRESENTATIVE,D,TX,35.0,D000399,113
2013,Robert,DOLD,HOUSE,REPRESENTATIVE,R,IL,10.0,D000613,112
1698,Elizabeth,DOLE,SENATE,SENATOR,R,NC,,D000601,110
1319,Pete,DOMENICI,SENATE,SENATOR,R,NM,,D000407,107
1850,Joe,DONNELLY,SENATE,SENATOR,D,IN,,D000607,113
2293,Daniel,DONOVAN,HOUSE,REPRESENTATIVE,R,NY,11.0,D000625,114
