mods_file,congress_id,context,bill_number,bill_type
CREC-2017-01-09-pt1-PgS161-3.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-10-pt1-PgH247-6.xml,115,OTHER,314,HR
CREC-2017-01-10-pt1-PgH249-6.xml,115,OTHER,356,HR
CREC-2017-01-10-pt1-PgH249-6.xml,115,TITLE,5,HR
CREC-2017-01-10-pt1-PgH249-6.xml,115,TITLE,79,HR
CREC-2017-01-10-pt1-PgH249-6.xml,115,OTHER,5,HR
CREC-2017-01-10-pt1-PgH249-6.xml,115,HEADERLINE,33,HRES
CREC-2017-01-10-pt1-PgH249-6.xml,115,FIRSTPARAGRAPH,33,HRES
CREC-2017-01-10-pt1-PgH249-6.xml,115,OTHER,33,HRES
CREC-2017-01-10-pt1-PgH249-6.xml,115,OTHER,79,HR
CREC-2017-01-10-pt1-PgH259-2.xml,115,HEADERLINE,79,HR
CREC-2017-01-10-pt1-PgH259-2.xml,115,OTHER,33,HRES
CREC-2017-01-10-pt1-PgH259-2.xml,115,OTHER,79,HR
CREC-2017-01-10-pt1-PgH259.xml,115,HEADERLINE,39,HRES
CREC-2017-01-10-pt1-PgH259.xml,115,OTHER,39,HRES
CREC-2017-01-10-pt1-PgH266-2.xml,115,OTHER,306,HR
CREC-2017-01-10-pt1-PgH266-2.xml,115,FIRSTPARAGRAPH,306,HR
CREC-2017-01-10-pt1-PgH266-2.xml,115,HEADERLINE,306,HR
CREC-2017-01-10-pt1-PgH268.xml,115,FIRSTPARAGRAPH,288,HR
CREC-2017-01-10-pt1-PgH268.xml,115,OTHER,288,HR
CREC-2017-01-10-pt1-PgH268.xml,115,HEADERLINE,288,HR
CREC-2017-01-10-pt1-PgH270.xml,115,FIRSTPARAGRAPH,321,HR
CREC-2017-01-10-pt1-PgH270.xml,115,HEADERLINE,321,HR
CREC-2017-01-10-pt1-PgH270.xml,115,OTHER,321,HR
CREC-2017-01-10-pt1-PgH273.xml,115,HEADERLINE,255,HR
CREC-2017-01-10-pt1-PgH273.xml,115,FIRSTPARAGRAPH,255,HR
CREC-2017-01-10-pt1-PgH273.xml,115,OTHER,255,HR
CREC-2017-01-10-pt1-PgH275.xml,115,OTHER,239,HR
CREC-2017-01-10-pt1-PgH275.xml,115,HEADERLINE,239,HR
CREC-2017-01-10-pt1-PgH275.xml,115,FIRSTPARAGRAPH,239,HR
CREC-2017-01-10-pt1-PgH277.xml,115,FIRSTPARAGRAPH,240,HR
CREC-2017-01-10-pt1-PgH277.xml,115,OTHER,240,HR
CREC-2017-01-10-pt1-PgH277.xml,115,HEADERLINE,240,HR
CREC-2017-01-10-pt1-PgH279.xml,115,OTHER,274,HR
CREC-2017-01-10-pt1-PgH279.xml,115,HEADERLINE,274,HR
CREC-2017-01-10-pt1-PgH279.xml,115,FIRSTPARAGRAPH,274,HR
CREC-2017-01-10-pt1-PgH280-3.xml,115,FIRSTPARAGRAPH,33,HRES
CREC-2017-01-10-pt1-PgH280-3.xml,115,FIRSTPARAGRAPH,79,HR
CREC-2017-01-10-pt1-PgH280-3.xml,115,OTHER,5,HR
CREC-2017-01-10-pt1-PgH280-3.xml,115,OTHER,79,HR
CREC-2017-01-10-pt1-PgH280-3.xml,115,OTHER,33,HRES
CREC-2017-01-10-pt1-PgH283-3.xml,115,HEADERLINE,39,HR
CREC-2017-01-10-pt1-PgH283-3.xml,115,FIRSTPARAGRAPH,39,HR
CREC-2017-01-10-pt1-PgH283-3.xml,115,OTHER,39,HR
CREC-2017-01-10-pt1-PgH285-3.xml,115,OTHER,4499,HR
CREC-2017-01-10-pt1-PgS184-2.xml,115,FIRSTPARAGRAPH,3,SCONRES
CREC-2017-01-10-pt1-PgS184-2.xml,115,OTHER,3,SCONRES
CREC-2017-01-10-pt1-PgS206.xml,115,OTHER,90,S
CREC-2017-01-10-pt1-PgS206.xml,115,OTHER,82,S
